logID,fightID,encounterID,sourceID,timestamp.x,abilityGameID.x,delayms.x,row_number,timestamp.y,abilityGameID.y,delayms.y,indicator,total_delay,encounterName
19cG8bnr2K6JDVPa,44,100730,16,10005952,27014,908,7,10007353,75,1401,1,2309,<b><span style='color:#990033;'>Al&#39;ar</span></b>
19cG8bnr2K6JDVPa,44,100730,16,10010524,1,359,8,10011000,34120,476,1,835,<b><span style='color:#990033;'>Al&#39;ar</span></b>
19cG8bnr2K6JDVPa,44,100730,16,10014973,27014,1249,9,10015285,75,312,1,1561,<b><span style='color:#990033;'>Al&#39;ar</span></b>
19cG8bnr2K6JDVPa,44,100730,16,10018951,1,593,10,10019631,75,680,1,1273,<b><span style='color:#990033;'>Al&#39;ar</span></b>
19cG8bnr2K6JDVPa,44,100730,16,10034412,27014,1032,11,10035423,75,1011,1,2043,<b><span style='color:#990033;'>Al&#39;ar</span></b>
19cG8bnr2K6JDVPa,44,100730,16,10039585,1,450,12,10039993,34120,408,1,858,<b><span style='color:#990033;'>Al&#39;ar</span></b>
19cG8bnr2K6JDVPa,44,100730,16,10043915,27014,479,13,10044620,34120,705,1,1184,<b><span style='color:#990033;'>Al&#39;ar</span></b>
19cG8bnr2K6JDVPa,44,100730,16,10043923,1,487,14,10044620,34120,697,1,1184,<b><span style='color:#990033;'>Al&#39;ar</span></b>
19cG8bnr2K6JDVPa,44,100730,16,10048035,1,299,15,10049236,34120,1201,1,1500,<b><span style='color:#990033;'>Al&#39;ar</span></b>
19cG8bnr2K6JDVPa,44,100730,16,10132403,27014,601,16,10133463,75,1060,1,1661,<b><span style='color:#990033;'>Al&#39;ar</span></b>
19cG8bnr2K6JDVPa,44,100730,16,10136154,1,1236,17,10136468,75,314,1,1550,<b><span style='color:#990033;'>Al&#39;ar</span></b>
19cG8bnr2K6JDVPa,44,100730,16,10141688,27014,386,18,10142071,34120,383,1,769,<b><span style='color:#990033;'>Al&#39;ar</span></b>
19cG8bnr2K6JDVPa,44,100730,16,10145582,1,1061,19,10145855,75,273,1,1334,<b><span style='color:#990033;'>Al&#39;ar</span></b>
19cG8bnr2K6JDVPa,44,100730,16,10149483,27014,1158,20,10149836,75,353,1,1511,<b><span style='color:#990033;'>Al&#39;ar</span></b>
19gCFRMVXn4hwWdY,1,100624,20,1669502,1,777,3,1670906,75,1404,1,2181,<b><span style='color:#005F73;'>Lurker</span></b>
19gCFRMVXn4hwWdY,1,100624,20,1673804,27014,866,4,1674720,34120,916,1,1782,<b><span style='color:#005F73;'>Lurker</span></b>
19gCFRMVXn4hwWdY,1,100624,20,1679909,1,702,5,1680766,75,857,1,1559,<b><span style='color:#005F73;'>Lurker</span></b>
19gCFRMVXn4hwWdY,1,100624,20,1687857,27014,1656,6,1688202,75,345,1,2001,<b><span style='color:#005F73;'>Lurker</span></b>
19gCFRMVXn4hwWdY,1,100624,20,1687859,1,1658,7,1688202,75,343,1,2001,<b><span style='color:#005F73;'>Lurker</span></b>
19gCFRMVXn4hwWdY,1,100624,20,1691638,1,705,8,1691897,75,259,1,964,<b><span style='color:#005F73;'>Lurker</span></b>
19gCFRMVXn4hwWdY,1,100624,20,1695409,27014,735,9,1695597,75,188,1,923,<b><span style='color:#005F73;'>Lurker</span></b>
19gCFRMVXn4hwWdY,1,100624,20,1699639,1,498,10,1700530,75,891,1,1389,<b><span style='color:#005F73;'>Lurker</span></b>
19gCFRMVXn4hwWdY,1,100624,20,1703756,27014,703,11,1704005,75,249,1,952,<b><span style='color:#005F73;'>Lurker</span></b>
19gCFRMVXn4hwWdY,1,100624,20,1720689,1,911,13,1720897,34120,208,1,1119,<b><span style='color:#005F73;'>Lurker</span></b>
19gCFRMVXn4hwWdY,1,100624,20,1732115,27014,683,14,1732421,75,306,1,989,<b><span style='color:#005F73;'>Lurker</span></b>
19gCFRMVXn4hwWdY,1,100624,20,1735838,1,787,15,1736489,34120,651,1,1438,<b><span style='color:#005F73;'>Lurker</span></b>
19gCFRMVXn4hwWdY,1,100624,20,1741510,27014,1796,16,1741768,75,258,1,2054,<b><span style='color:#005F73;'>Lurker</span></b>
19gCFRMVXn4hwWdY,1,100624,20,1745785,1,636,17,1746068,75,283,1,919,<b><span style='color:#005F73;'>Lurker</span></b>
19gCFRMVXn4hwWdY,1,100624,22,1670834,27014,333,1,1671711,75,877,1,1210,<b><span style='color:#005F73;'>Lurker</span></b>
19gCFRMVXn4hwWdY,1,100624,22,1686594,27014,345,2,1687342,75,748,1,1093,<b><span style='color:#005F73;'>Lurker</span></b>
19gCFRMVXn4hwWdY,1,100624,22,1686638,1,389,3,1687342,75,704,1,1093,<b><span style='color:#005F73;'>Lurker</span></b>
19gCFRMVXn4hwWdY,1,100624,22,1697467,27014,208,4,1698387,75,920,1,1128,<b><span style='color:#005F73;'>Lurker</span></b>
19gCFRMVXn4hwWdY,1,100624,22,1705925,27014,304,5,1706704,75,779,1,1083,<b><span style='color:#005F73;'>Lurker</span></b>
19gCFRMVXn4hwWdY,1,100624,22,1717787,27014,1689,6,1719038,75,1251,1,2940,<b><span style='color:#005F73;'>Lurker</span></b>
19gCFRMVXn4hwWdY,1,100624,22,1733061,27014,313,7,1734753,75,1692,1,2005,<b><span style='color:#005F73;'>Lurker</span></b>
